ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
FABG.ST,2025-06-30,2025-07-07,7,0.64,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2025-09-30,2025-10-21,21,0.9099999999999998,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
FABG.ST,2025-12-31,2026-02-05,36,-1.11,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2026-03-31,2026-04-23,23,-0.23,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2026-06-30,2026-07-06,6,1.37,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FOI-B.ST,2023-09-30,,,0.523953,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2023-12-31,,,0.903925,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2024-03-31,,,0.623925,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2024-06-30,,,0.571859,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2024-09-30,,,-0.666075,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2024-12-31,,,0.417357,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2025-03-31,,,0.058,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2025-06-30,,,-0.542,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2025-09-30,,,0.269,EUR,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,missing
FOI-B.ST,2025-12-31,,,0.039,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2026-03-31,,,0.399,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
FOI-B.ST,2026-06-30,,,0.179,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
GENO.ST,2023-09-30,2023-11-15,46,0.83,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
GENO.ST,2023-12-31,2024-02-15,46,0.94,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
GENO.ST,2024-03-31,2024-05-15,45,0.46,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
GENO.ST,2024-06-30,2024-08-20,51,0.26,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
GENO.ST,2024-09-30,2024-11-08,39,0.42,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
